Name,Rating,Reviews,Company Type,Headquarters,Highly Rated For,Critically Rated For
TCS,3.3,(1.2L),IT Services & Consulting,Bengaluru +448 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Accenture,3.7,(75.2k),IT Services & Consulting,Bengaluru +261 other locations,"Promotions, Salary, Work Satisfaction",
Wipro,3.6,(66.4k),IT Services & Consulting,Hyderabad +375 other locations,"Promotions, Salary, Work Satisfaction",
Cognizant,3.7,(62.7k),IT Services & Consulting,Hyderabad +233 other locations,"Promotions, Salary, Work Satisfaction",
Capgemini,3.6,(54.8k),IT Services & Consulting,Bengaluru +188 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
HDFC Bank,3.8,(53.9k),Banking,Mumbai +1865 other locations,"Job Security, Skill Development","Promotions, Salary"
Infosys,3.5,(49.9k),IT Services & Consulting,Bengaluru +247 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
HCLTech,3.4,(47k),IT Services & Consulting,Chennai +232 other locations,"Promotions, Salary, Work Satisfaction",
ICICI Bank,4.0,(46.7k),Banking,Mumbai +1449 other locations,"Job Security, Promotions, Skill Development",
Tech Mahindra,3.3,(44.2k),IT Services & Consulting,Hyderabad +323 other locations,"Promotions, Salary, Work Satisfaction",
Genpact,3.6,(43.4k),Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
TP,3.9,(39.7k),BPO,Mumbai +259 other locations,"Work Life Balance, Job Security, Skill Development",
Axis Bank,3.6,(34.1k),Banking,Mumbai +1535 other locations,"Promotions, Work Satisfaction, Company Culture",
Jio,4.4,(34.1k),Telecom,Mumbai +1966 other locations,"Job Security, Skill Development, Company Culture",
Concentrix Corporation,3.5,(32.9k),BPO,Bengaluru +185 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Amazon,3.9,(32.4k),Internet,Bengaluru +521 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Reliance Retail,3.9,(27.8k),Retail,Mumbai +1167 other locations,"Job Security, Skill Development, Work Life Balance",Promotions
iEnergizer,4.6,(27.5k),BPO,Noida +55 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
LTM Limited,3.6,(27k),IT Services & Consulting,Bengaluru +146 other locations,"Promotions, Salary, Work Satisfaction",
HDB Financial Services,3.9,(26.3k),NBFC,Mumbai +1099 other locations,"Promotions, Salary",
IBM,3.9,(26.2k),IT Services & Consulting,Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Larsen & Toubro Limited,3.9,(24.4k),Engineering & Construction,Mumbai +781 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance"
Deloitte,3.6,(23.9k),Management Consulting,Hyderabad +186 other locations,"Promotions, Work Life Balance, Work Satisfaction",
Kotak Mahindra Bank,3.6,(23k),Banking,Mumbai +697 other locations,"Promotions, Work Satisfaction, Company Culture",
Reliance Industries,4.0,(20.6k),Oil & Gas,Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Vodafone Idea,3.9,(17.8k),Telecom,Pune +708 other locations,"Salary, Company Culture, Work Life Balance",Promotions
Bharti Airtel,3.8,(17.4k),Telecom,Gurugram +797 other locations,Promotions,
BYJU'S,3.2,(16.4k),EdTech,Bengaluru +321 other locations,"Job Security, Company Culture, Work Life Balance",
WNS,3.3,(15.6k),IT Services & Consulting,Pune +69 other locations,"Promotions, Salary, Work Satisfaction",
IDFC FIRST Bank,4.0,(15.3k),Banking,Mumbai +746 other locations,"Salary, Work Life Balance, Skill Development",
Ernst & Young,3.4,(15k),Management Consulting,Bengaluru +135 other locations,"Promotions, Work Life Balance, Work Satisfaction",
IndusInd Bank,3.4,(14.6k),Banking,Mumbai +805 other locations,"Promotions, Company Culture, Work Satisfaction",
AU Small Finance Bank,3.8,(14.5k),Banking,Jaipur +810 other locations,Salary,
Tata Motors,4.1,(14.4k),Automobile,Pune +510 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Bajaj Finserv,3.9,(13.6k),NBFC,Pune +1220 other locations,"Salary, Skill Development, Job Security",
Muthoot FinCorp,4.5,(13.3k),NBFC,Bengaluru +1126 other locations,"Company Culture, Work Life Balance, Job Security",
Flipkart,3.9,(13.3k),Internet,Bengaluru +560 other locations,"Skill Development, Salary",Promotions
PwC,3.3,(13.1k),Management Consulting,Bengaluru +139 other locations,"Promotions, Work Life Balance, Work Satisfaction",
HDFC Life,3.8,(12.4k),Insurance,Mumbai +724 other locations,Skill Development,Promotions
Mahindra & Mahindra,4.0,(12.3k),Automobile,Pune +570 other locations,"Job Security, Skill Development, Company Culture",Promotions
Infosys BPM,3.5,(12.3k),BPO,Bengaluru +95 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
DXC Technology,3.6,(12.2k),IT Services & Consulting,Bengaluru +132 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Bandhan Bank,3.7,(11.6k),Banking,Kolkata +1027 other locations,"Promotions, Work Satisfaction, Company Culture",
Digitide Solutions,3.4,(10.6k),IT Services & Consulting,Hyderabad +276 other locations,"Promotions, Salary, Work Satisfaction",
Yes Bank,3.7,(10.5k),Banking,Mumbai +545 other locations,"Job Security, Promotions, Company Culture",
Mphasis,3.3,(10.5k),IT Services & Consulting,Bengaluru +64 other locations,"Promotions, Salary, Work Satisfaction",
Tata Steel,4.0,(10.1k),Iron & Steel,Jamshedpur +228 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Quess,3.8,(10k),Recruitment,Bengaluru +768 other locations,"Promotions, Job Security",
Asian Paints,3.9,(9.9k),Chemicals,Mumbai +565 other locations,"Salary, Skill Development, Job Security",Promotions
UltraTech Cement,4.1,(9.8k),Building Material,Mumbai +548 other locations,"Job Security, Skill Development, Company Culture",Promotions
Startek,3.0,(9.7k),BPO,Bengaluru +104 other locations,"Promotions, Work Satisfaction, Salary",
Maruti Suzuki,4.1,(9.7k),Automobile,Gurugram +463 other locations,"Job Security, Salary, Company Culture",
Paytm,3.2,(9.5k),FinTech,Noida +430 other locations,"Job Security, Company Culture, Promotions",
Bajaj Finance,3.9,(9.5k),NBFC,Pune +1015 other locations,"Salary, Skill Development, Job Security",
Shriram Finance,3.9,(9.3k),NBFC,Chennai +1127 other locations,"Job Security, Work Life Balance",Promotions
Sutherland Global Services,3.3,(9.3k),BPO,Chennai +82 other locations,"Promotions, Work Satisfaction, Skill Development",
Coforge,3.3,(9.1k),IT Services & Consulting,Hyderabad +113 other locations,"Promotions, Work Satisfaction, Job Security",
Equitas Small Finance Bank,4.3,(9.1k),Banking,Chennai +487 other locations,"Job Security, Company Culture, Work Life Balance",
Wells Fargo,3.6,(9k),Financial Services,Bengaluru +28 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
Cipla,4.1,(8.8k),Pharma,Mumbai +297 other locations,"Salary, Work Life Balance, Skill Development",
EXL Service,3.6,(8.8k),Analytics & KPO,Noida +62 other locations,Job Security,"Promotions, Salary, Skill Development"
Ericsson,3.9,(8.5k),Telecom,Noida +161 other locations,"Work Life Balance, Company Culture","Promotions, Salary"
Samsung,3.9,(8.4k),Consumer Electronics & Appliances,Noida +583 other locations,"Work Life Balance, Salary",Promotions
Dr. Reddy's,4.0,(8.4k),Pharma,Hyderabad +217 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
Optum Global Solutions,4.0,(8.2k),IT Services & Consulting,Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
JSW Steel,3.9,(8.1k),Iron & Steel,Ballari +201 other locations,"Job Security, Skill Development",Promotions
Delhivery,3.8,(8k),Logistics,Gurugram +773 other locations,Promotions,
JPMorgan Chase & Co.,3.8,(8k),Financial Services,Bengaluru +56 other locations,"Job Security, Salary",Promotions
ICICI Prudential Life Insurance,3.9,(7.9k),Insurance,Mumbai +514 other locations,"Job Security, Salary, Skill Development",
Hexaware Technologies,3.4,(7.9k),IT Services & Consulting,Chennai +71 other locations,"Promotions, Salary, Work Satisfaction",
Ujjivan Small Finance Bank,4.0,(7.8k),Banking,Bengaluru +549 other locations,"Company Culture, Work Life Balance, Job Security",
Jana Small Finance Bank,3.7,(7.8k),Banking,Bengaluru +429 other locations,Salary,Promotions
Sun Pharmaceutical Industries,4.1,(7.8k),Pharma,Vadodara +266 other locations,"Salary, Job Security, Skill Development",
Zydus Lifesciences,4.0,(7.7k),Pharma,Ahmedabad +185 other locations,"Salary, Skill Development, Work Life Balance",
Ekart Logistics,3.9,(7.7k),Logistics,Bengaluru +744 other locations,Skill Development,Promotions
HGS,3.7,(7.6k),Emerging Technologies,Bengaluru +122 other locations,"Promotions, Salary",
Amazon Development Centre India,3.8,(7.5k),Internet,Hyderabad +146 other locations,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development"
KPMG India,3.4,(7.5k),Management Consulting,Bengaluru +113 other locations,"Promotions, Work Life Balance, Work Satisfaction",
Lupin,4.1,(7.5k),Pharma,Pune +205 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
Axis Max Life Insurance,4.0,(7.4k),Insurance,New Delhi +517 other locations,"Skill Development, Company Culture, Work Life Balance",
L&T Construction,4.0,(7.4k),Engineering & Construction,Chennai +436 other locations,"Job Security, Skill Development, Salary",Promotions
ITC,3.9,(7.3k),FMCG,Bengaluru +383 other locations,"Job Security, Skill Development",Promotions
Hindustan Unilever,4.2,(7.3k),FMCG,Mumbai +550 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions
Megha Engineering & Infrastructures,3.9,(7.1k),Engineering & Construction,Hyderabad +414 other locations,"Work Life Balance, Job Security",Promotions
Tata Projects,4.2,(7k),Engineering & Construction,Mumbai +288 other locations,"Salary, Company Culture, Work Life Balance",
Cholamandalam Investment & Finance,3.8,(6.9k),Financial Services,Chennai +873 other locations,Salary,Promotions
Bajaj Life Insurance,3.8,(6.9k),Insurance,Pune +624 other locations,Salary,
L&T Technology Services,3.1,(6.8k),IT Services & Consulting,Bengaluru +96 other locations,"Promotions, Salary, Work Satisfaction",
FIS,3.7,(6.7k),FinTech,Pune +61 other locations,Work Life Balance,"Promotions, Job Security, Skill Development"
Oracle,3.3,(6.7k),Software Product,Bengaluru +56 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Omega Healthcare,3.7,(6.6k),BPO,Chennai +71 other locations,"Promotions, Salary",
JLL,4.1,(6.6k),Real Estate,Gurugram +89 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Muthoot Finance,3.7,(6.5k),NBFC,Bengaluru +802 other locations,"Promotions, Work Satisfaction",
IIFL Finance,4.0,(6.5k),NBFC,Mumbai +821 other locations,"Work Life Balance, Company Culture, Job Security",
eClerx,3.1,(6.5k),IT Services & Consulting,Pune +33 other locations,"Promotions, Salary, Work Satisfaction",
Indian Army,4.7,(6.4k),Defence & Aerospace,New Delhi +368 other locations,"Job Security, Company Culture, Work Life Balance",
DMart,3.9,(6.3k),Retail,Mumbai +258 other locations,"Job Security, Company Culture",Promotions
Piramal Finance,4.2,(6.3k),NBFC,Mumbai +436 other locations,"Company Culture, Work Life Balance, Skill Development",
PolicyBazaar,3.8,(6.3k),Internet,Gurugram +161 other locations,Salary,Work Life Balance
Indiamart Intermesh,3.5,(6.3k),Internet,Noida +169 other locations,"Work Satisfaction, Company Culture, Work Life Balance",
Virtusa Consulting Services,3.7,(6.2k),IT Services & Consulting,Hyderabad +56 other locations,"Promotions, Salary, Work Satisfaction",
HSBC Group,3.8,(6.2k),Financial Services,Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
SMFG India Credit,3.9,(6.1k),NBFC,Mumbai +613 other locations,Salary,Promotions
HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations,"Promotions, Salary, Work Satisfaction",
Access Healthcare,3.7,(6.1k),BPO,Chennai +62 other locations,Promotions,
BigBasket,3.9,(6k),Internet,Bengaluru +145 other locations,Job Security,Promotions
Manappuram Finance,3.9,(5.9k),NBFC,Bengaluru +664 other locations,"Work Life Balance, Promotions, Skill Development",
ICICI Lombard General Insurance Company,3.5,(5.9k),Insurance,Mumbai +325 other locations,"Promotions, Work Satisfaction, Company Culture",
Siemens,4.0,(5.9k),Industrial Automation,Bengaluru +156 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Firstsource Solutions,3.5,(5.9k),BPO,Bengaluru +73 other locations,"Promotions, Salary, Work Satisfaction",
Apollo Hospitals,4.0,(5.9k),Healthcare,Chennai +227 other locations,"Job Security, Skill Development, Company Culture",Promotions
GlobalLogic,3.5,(5.9k),IT Services & Consulting,Hyderabad +62 other locations,"Promotions, Salary, Work Satisfaction",
Aurobindo Pharma,4.0,(5.9k),Pharma,Hyderabad +117 other locations,"Job Security, Salary, Work Life Balance",Promotions
Tata Capital,4.0,(5.9k),NBFC,Mumbai +462 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Shapoorji Pallonji Group,4.1,(5.9k),Engineering & Construction,Mumbai +190 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
UST,3.7,(5.8k),IT Services & Consulting,Bengaluru +52 other locations,Work Life Balance,"Promotions, Job Security, Salary"
Swiggy,3.7,(5.8k),Internet,Bengaluru +240 other locations,"Job Security, Promotions, Work Life Balance",
Standard Chartered,3.6,(5.8k),Banking,Chennai +71 other locations,"Promotions, Work Satisfaction, Salary",
Mahindra Finance,3.8,(5.8k),NBFC,Mumbai +744 other locations,Promotions,
Bosch Global Software Technologies,3.7,(5.8k),IT Services & Consulting,Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction"
Udaan,3.9,(5.7k),Internet,Bengaluru +366 other locations,Salary,"Job Security, Promotions"
Citicorp,3.6,(5.7k),Financial Services,Pune +68 other locations,Salary,"Promotions, Work Satisfaction, Skill Development"
Ashok Leyland,4.0,(5.7k),Automobile,Chennai +266 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions
Hero MotoCorp,4.1,(5.6k),Automobile,Gurugram +377 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
CGI Inc,4.0,(5.6k),IT Services & Consulting,Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
SBI Cards & Payment Services,3.6,(5.4k),Financial Services,Gurugram +452 other locations,"Promotions, Work Satisfaction, Company Culture",
NTT DATA,3.8,(5.4k),IT Services & Consulting,Bengaluru +81 other locations,"Work Life Balance, Job Security",Promotions
Kalpataru Projects International,4.1,(5.4k),Engineering & Construction,Mumbai +330 other locations,"Job Security, Skill Development, Salary",
Cyient,3.6,(5.4k),IT Services & Consulting,Hyderabad +49 other locations,"Promotions, Salary, Skill Development",
BNY,3.6,(5.4k),Financial Services,Pune +28 other locations,"Promotions, Job Security, Work Satisfaction",
Nagarjuna Construction Company,4.0,(5.4k),Engineering & Construction,Hyderabad +300 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
IQVIA,3.7,(5.4k),Clinical Research,Bengaluru +68 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Schneider Electric,4.1,(5.3k),Industrial Automation,Bengaluru +122 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
SBI Life Insurance Company,3.7,(5.3k),Insurance,Mumbai +668 other locations,Job Security,"Promotions, Work Life Balance, Work Satisfaction"
CBRE,4.1,(5.3k),Real Estate,Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",
JustDial,3.5,(5.3k),Internet,Noida +238 other locations,"Promotions, Work Satisfaction, Job Security",
TVS Motor,3.8,(5.2k),Automobile,Hosur +356 other locations,"Job Security, Skill Development, Salary",Promotions
State Bank of India,3.9,(5.2k),Banking,Mumbai +660 other locations,"Job Security, Skill Development, Salary",
Persistent Systems,3.5,(5.2k),IT Services & Consulting,Pune +42 other locations,"Promotions, Job Security, Work Satisfaction",
KEC International,4.0,(5.1k),Engineering & Construction,Mumbai +320 other locations,"Job Security, Salary, Company Culture",Promotions
ITC Infotech,3.8,(5k),IT Services & Consulting,Bengaluru +69 other locations,"Work Life Balance, Job Security",Promotions
Atos,3.8,(5k),IT Services & Consulting,Pune +50 other locations,Work Life Balance,"Promotions, Salary"
Amdocs,3.6,(5k),Software Product,Pune +24 other locations,Company Culture,"Promotions, Job Security, Work Satisfaction"
vivo,4.0,(5k),Consumer Electronics & Appliances,Noida +417 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
Varun Beverages,4.0,(5k),Beverage,New Delhi +387 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
JBM Group,3.9,(4.9k),Auto Components,Gurugram +119 other locations,"Job Security, Skill Development",Promotions
Utkarsh Small Finance Bank,3.6,(4.9k),Banking,Varanasi +428 other locations,"Promotions, Company Culture, Work Satisfaction",
Ecom Express,4.1,(4.9k),Logistics,Gurugram +782 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Randstad,3.7,(4.8k),Recruitment,Hyderabad +372 other locations,"Promotions, Job Security, Work Satisfaction",
Nagarro,3.9,(4.8k),IT Services & Consulting,Gurugram +48 other locations,"Work Life Balance, Company Culture",Promotions
Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations,Work Life Balance,"Promotions, Salary, Job Security"
EY Global Delivery Services ( EY GDS),3.5,(4.8k),IT Services & Consulting,Bengaluru +57 other locations,Job Security,"Promotions, Work Satisfaction, Work Life Balance"
Bosch,4.1,(4.8k),Auto Components,Bengaluru +133 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
Intas Pharmaceuticals,4.1,(4.8k),Pharma,Ahmedabad +153 other locations,"Job Security, Salary, Work Life Balance",
Hetero,3.9,(4.8k),Pharma,Hyderabad +73 other locations,"Job Security, Work Life Balance",Promotions
Havells,3.9,(4.7k),Electrical Equipment,Noida +269 other locations,"Work Life Balance, Salary",Promotions
L&T Finance,3.9,(4.7k),NBFC,Mumbai +660 other locations,Salary,Promotions
R1 RCM,3.8,(4.7k),BPO,New Delhi +49 other locations,Job Security,Promotions
Aditya Birla Fashion and Retail,4.0,(4.7k),Fashion & Textile,Bengaluru +295 other locations,"Job Security, Skill Development, Company Culture",Promotions
Tata AIA Life Insurance,3.8,(4.7k),Insurance,Mumbai +464 other locations,"Job Security, Skill Development, Salary",Promotions
Hewlett Packard Enterprise,4.0,(4.7k),IT Services & Consulting,Bengaluru +104 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Cars24,3.4,(4.7k),Internet,Gurugram +172 other locations,"Job Security, Promotions, Company Culture",
Mahindra Logistics,3.7,(4.7k),Logistics,Mumbai +233 other locations,"Promotions, Salary",
Lenskart,3.3,(4.6k),Internet,New Delhi +256 other locations,"Promotions, Company Culture, Work Satisfaction",
Berger Paints,3.7,(4.6k),Chemicals,Kolkata +375 other locations,"Promotions, Company Culture, Work Life Balance",
Dell,3.8,(4.6k),Consumer Electronics & Appliances,Bengaluru +118 other locations,"Work Life Balance, Company Culture","Promotions, Job Security"
Home Credit Finance,4.0,(4.6k),NBFC,Gurugram +140 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Deutsche Bank,3.8,(4.6k),Banking,Pune +42 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Skill Development"
Motilal Oswal Financial Services,3.7,(4.5k),Financial Services,Mumbai +170 other locations,Skill Development,"Promotions, Work Life Balance, Work Satisfaction"
OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +415 other locations,"Promotions, Job Security",
Hyundai Motor India Limited,4.1,(4.5k),Automobile,Chennai +294 other locations,"Job Security, Salary, Company Culture",Promotions
TeamLease Services,3.9,(4.5k),Recruitment,Bengaluru +410 other locations,Work Life Balance,Promotions
VE Commercial Vehicles,3.9,(4.5k),Automobile,Indore +184 other locations,"Job Security, Company Culture, Skill Development","Promotions, Salary"
Thermax Limited,4.2,(4.4k),Industrial Machinery,Pune +262 other locations,"Job Security, Company Culture, Skill Development",Promotions
Jubilant Foods Works,3.7,(4.4k),Hospitality,Noida +272 other locations,"Promotions, Work Satisfaction",
Macleods Pharmaceuticals,3.7,(4.3k),Pharma,Mumbai +140 other locations,Job Security,"Promotions, Company Culture"
Carelon Global Solutions,4.0,(4.3k),IT Services & Consulting,Bengaluru +20 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
Aakash Educational Services,3.2,(4.3k),Education & Training,New Delhi +251 other locations,"Promotions, Work Life Balance, Job Security",
Jindal Steel Limited,3.9,(4.3k),Iron & Steel,Angul +176 other locations,Skill Development,Promotions
State Street Corporation,3.5,(4.3k),Financial Services,Bengaluru +36 other locations,"Promotions, Work Satisfaction, Job Security",
Bajaj Auto,3.8,(4.3k),Automobile,Pune +328 other locations,Promotions,
Hindalco Industries,4.2,(4.3k),Metals & Mining,Sambalpur +133 other locations,"Job Security, Work Life Balance, Skill Development",
LG Electronics,3.8,(4.2k),Consumer Electronics & Appliances,Pune +304 other locations,Job Security,Promotions
HDFC ERGO General Insurance,3.9,(4.2k),Insurance,Mumbai +332 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Kogta Financial India Limited,4.6,(4.2k),NBFC,Jaipur +260 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
DCB Bank,3.8,(4.2k),Banking,Mumbai +349 other locations,Work Life Balance,Promotions
Royal Enfield,4.2,(4.1k),Automobile,Chennai +376 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
John Deere,4.0,(4.1k),Industrial Machinery,Pune +157 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
RBL Bank,3.5,(4.1k),Banking,Mumbai +296 other locations,"Promotions, Company Culture, Work Satisfaction",
Tata Communications,3.8,(4.1k),Telecom,Pune +102 other locations,Work Life Balance,"Promotions, Salary"
Publicis Sapient,3.2,(4.1k),IT Services & Consulting,Bengaluru +47 other locations,"Promotions, Job Security, Work Satisfaction",
Cummins,4.3,(4.1k),Industrial Machinery,Pune +117 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Cloudnine Hospital,4.5,(4.1k),Healthcare,Bengaluru +46 other locations,"Company Culture, Job Security, Skill Development",
Alembic Pharmaceuticals,3.9,(4k),Pharma,Vadodara +190 other locations,Salary,
Pidilite Industries,4.2,(4k),Chemicals,Mumbai +323 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Bank of America,4.1,(4k),Banking,Gurugram +34 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Grasim Industries,4.0,(4k),Building Material,Bharuch +266 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Aditya Birla Sun Life Insurance,4.0,(4k),Insurance,Mumbai +516 other locations,"Work Life Balance, Company Culture, Skill Development",
PNB MetLife,3.3,(4k),Insurance,New Delhi +435 other locations,"Company Culture, Work Satisfaction, Job Security",
Oyo Rooms,3.0,(4k),Hospitality,Gurugram +121 other locations,"Job Security, Company Culture, Work Satisfaction",
